File BR50042, IAD, Is already downloaded: Skipping
File BR50269, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50270, no, Link 1 Error: ('<urlopen error [Errno 11001] getaddrinfo failed>',). Link 2 Error: No data found: Skipping
File BR50271, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50272, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: 3: Not a PDF: Deleting
File BR50273, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50274, no, Link 1 Error: <urlopen error [WinError 10054] En eksisterende forbindelse blev tvangsafbrudt af en ekstern vært>, Link 2 Error: <urlopen error [WinError 10054] En eksisterende forbindelse blev tvangsafbrudt af en ekstern vært>
File BR50275, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50276, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50277, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50278, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 404: Not Found
File BR50249, YES, Downloaded without issue through link1
File BR50280, no, Link 1 Error: ("'ascii' codec can't encode characters in position 38-51: ordinal not in range(128)",). Link 2 Error: No data found: Skipping
File BR50281, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50282, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: unknown url type: 'alcoa.com/sustainability/en/sustainability-reports-archive.asp'
File BR50283, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50284, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50285, no, Link 1 Error: 3: Not a PDF: Deleting, Link 2 Error: 3: Not a PDF: Deleting
File BR50279, YES, Downloaded without issue through link1
File BR50287, no, Link 1 Error: ('1: No data found: Skipping',). Link 2 Error: No data found: Skipping
File BR50288, YES, Downloaded without issue through link1
